Year,Entity,Frequency
FarRight_2-2016,Turkey,6
FarRight_2-2016,Australian,1
FarRight_2-2016,Times,1
FarRight_2-2016,columnist,1
FarRight_2-2016,Australia,5
FarRight_2-2016,Nauru,1
FarRight_2-2016,American,20
FarRight_2-2016,Jesus Martinez,1
FarRight_2-2016,governor,5
FarRight_2-2016,Pompeo,1
FarRight_2-2016,DC Circuit,2
FarRight_2-2016,president,19
FarRight_2-2016,National Immigration Forum,1
FarRight_2-2016,Central,3
FarRight_2-2016,EU,14
FarRight_2-2016,Polish,1
FarRight_2-2016,French,17
FarRight_2-2016,Congress,7
FarRight_2-2016,US,31
FarRight_2-2016,Attorney,1
FarRight_2-2016,FBI,2
FarRight_2-2016,Clinton Foundation,1
FarRight_2-2016,He,4
FarRight_2-2016,quarterback,5
FarRight_2-2016,Israel,5
FarRight_2-2016,Israelis,2
FarRight_2-2016,Passover,1
FarRight_2-2016,Tymoshenko,1
FarRight_2-2016,her,8
FarRight_2-2016,Indian-first,1
FarRight_2-2016,European Union,1
FarRight_2-2016,Immigration Minister,1
FarRight_2-2016,David Coleman,1
FarRight_2-2016,Beltway Democrat,1
FarRight_2-2016,Angelica Salas,1
FarRight_2-2016,Coalition for Humane Immigrant Rights of Los Angeles,1
FarRight_2-2016,Mexico,8
FarRight_2-2016,Papua New Guinea,1
FarRight_2-2016,Sweden,3
FarRight_2-2016,Italian,3
FarRight_2-2016,attorney general,5
FarRight_2-2016,Indian,9
FarRight_2-2016,Maine,2
FarRight_2-2016,Chinese,10
FarRight_2-2016,Mary Simpson,1
FarRight_2-2016,grocer,1
FarRight_2-2016,George Washington,1
FarRight_2-2016,she,2
FarRight_2-2016,Sampdoria,1
FarRight_2-2016,Fabio Quagliarella,1
FarRight_2-2016,All-Star Game,1
FarRight_2-2016,United Kingdom,2
FarRight_2-2016,UK,6
FarRight_2-2016,Partido Obrero,1
FarRight_2-2016,Estados Unidos,1
FarRight_2-2016,Duke,1
FarRight_2-2016,Parliament,1
FarRight_2-2016,Britons,1
FarRight_2-2016,South,1
FarRight_2-2016,Asian,7
FarRight_2-2016,non-Muslim,5
FarRight_2-2016,Rajapakse,1
FarRight_2-2016,Rex Tillerson,1
FarRight_2-2016,Joe Manchin,1
FarRight_2-2016,West Virginia,1
FarRight_2-2016,Heidi Heitcamp,1
FarRight_2-2016,North Dakota,1
FarRight_2-2016,North,2
FarRight_2-2016,Soviet,2
FarRight_2-2016,Brazil,1
FarRight_2-2016,executive,42
FarRight_2-2016,Syrian,20
FarRight_2-2016,Muslims,34
FarRight_2-2016,Immigration Reform Law Institute,1
FarRight_2-2016,Kuwait,1
FarRight_2-2016,Shaw,1
FarRight_2-2016,Russia,5
FarRight_2-2016,FCO,2
FarRight_2-2016,buffer,2
FarRight_2-2016,Mazie Hirono,4
FarRight_2-2016,Germany,8
FarRight_2-2016,Catholic Charities,1
FarRight_2-2016,president-elect,2
FarRight_2-2016,him,6
FarRight_2-2016,John Binder,2
FarRight_2-2016,Facebook,5
FarRight_2-2016,manager,1
FarRight_2-2016,Antonio García Martínez,1
FarRight_2-2016,acrobat,1
FarRight_2-2016,broadcaster,1
FarRight_2-2016,Teddy Kennedy,1
FarRight_2-2016,Hanno,1
FarRight_2-2016,non-EU,1
FarRight_2-2016,DNC,1
FarRight_2-2016,Iraq,3
FarRight_2-2016,America,9
FarRight_2-2016,Gorsuch,3
FarRight_2-2016,Scalia,3
FarRight_2-2016,Nestle,1
FarRight_2-2016,deputy prime minister,1
FarRight_2-2016,France,3
FarRight_2-2016,His,1
FarRight_2-2016,Arizona,2
FarRight_2-2016,Dobbs,1
FarRight_2-2016,lawyer,3
FarRight_2-2016,Michael Cohen,1
FarRight_2-2016,Muhammadu Buhari,1
FarRight_2-2016,Jimmy Kimmel,1
FarRight_2-2016,Singh,1
FarRight_2-2016,Gantz,2
FarRight_2-2016,Amnesty,1
FarRight_2-2016,Nellthorp,1
FarRight_2-2016,Trevor Noah,1
FarRight_2-2016,Likud,1
FarRight_2-2016,Comedian,1
FarRight_2-2016,Neal Brennan,1
FarRight_2-2016,Guillermo del Toro,1
FarRight_2-2016,Twitter,4
FarRight_2-2016,Eisenhower,1
FarRight_2-2016,English,1
FarRight_2-2016,Steven Camarota,1
FarRight_2-2016,Myanmar,4
FarRight_2-2016,Na,1
FarRight_2-2016,Netanyahu,1
FarRight_2-2016,Freedom Caucus,1
FarRight_2-2016,GOP,1
FarRight_2-2016,interpreter,1
FarRight_2-2016,Paul Duggan,1
FarRight_2-2016,Peter Jamison,1
FarRight_2-2016,Drug Enforcement Administration,1
FarRight_2-2016,Chicago Tribune,1
FarRight_2-2016,Tribune,1
FarRight_2-2016,Gladys Knight,1
FarRight_2-2016,Gorney,1
FarRight_2-2016,Kasim Khuram,1
FarRight_2-2016,Robert Mueller,1
FarRight_2-2016,She,8
FarRight_2-2016,Salvador Sanchez Ceren,1
FarRight_2-2016,FMLN,1
FarRight_2-2016,Sonequa Martin-Green,1
FarRight_2-2016,Anthony Rapp,1
FarRight_2-2016,Doug Jones,1
FarRight_2-2016,Mary Wiseman,1
FarRight_2-2016,David Bowie,1
FarRight_2-2016,Israa,1
FarRight_2-2016,Commonwealth,1
FarRight_2-2016,Lisa Spiegel,1
FarRight_2-2016,Immigration Practice Group,1
FarRight_2-2016,Leclerc,1
FarRight_2-2016,Capo Rizzuto,1
FarRight_2-2016,Customs Enforcement,5
FarRight_2-2016,Rohingyas,2
FarRight_2-2016,Schmarsel,1
FarRight_2-2016,Ferrera,1
FarRight_2-2016,doctor,1
FarRight_2-2016,Gregg Crandall,1
FarRight_2-2016,Betty,1
FarRight_2-2016,Ignacio,1
FarRight_2-2016,writer,2
FarRight_2-2016,Urman,1
FarRight_2-2016,Elaine Low,1
FarRight_2-2016,Attorney-General,1
FarRight_2-2016,Christian Porter,1
FarRight_2-2016,AP,1
FarRight_2-2016,Derrick Rose,1
FarRight_2-2016,China,1
FarRight_2-2016,attorney,3
FarRight_2-2016,Araibi,1
FarRight_2-2016,Qatari,1
FarRight_2-2016,Google,1
FarRight_2-2016,Gonzaga,4
FarRight_2-2016,Carlson,1
FarRight_2-2016,NBC,3
FarRight_2-2016,Shaik,1
FarRight_2-2016,NBC News,1
FarRight_2-2016,Tucker Carlson,1
FarRight_2-2016,Bernie Sanders,1
FarRight_2-2016,McIntyre,1
FarRight_2-2016,Biden,1
FarRight_2-2016,Loyola Marymount,3
FarRight_2-2016,Los Angeles Lakers,1
FarRight_2-2016,JaVale McGee,1
FarRight_2-2016,Tartt,1
FarRight_2-2016,Whitaker,1
FarRight_2-2016,Uzbekistan,2
FarRight_2-2016,ALEK SKARLATOS,1
FarRight_2-2016,Zags,1
FarRight_2-2016,Arctic,1
FarRight_2-2016,Rep.,2
FarRight_2-2016,Alexandria Ocasio-Cortez,1
FarRight_2-2016,starter,1
FarRight_2-2016,U.S.,53
FarRight_2-2016,Uganda,3
FarRight_2-2016,count,2
FarRight_2-2016,Christopher Buskirk,1
FarRight_2-2016,editor,1
FarRight_2-2016,EU-Turkey,4
FarRight_2-2016,Christian,5
FarRight_2-2016,Prime Minister,2
FarRight_2-2016,Narendra Modi,1
FarRight_2-2016,David,2
FarRight_2-2016,Supreme Court,4
FarRight_2-2016,Refugee Council,4
FarRight_2-2016,Alba,2
FarRight_2-2016,McDonald,2
FarRight_2-2016,Jewish,614
FarRight_2-2016,Jordan,2
FarRight_2-2016,UNHCR,2
FarRight_2-2016,Immigration NZ,4
FarRight_2-2016,Norwegian,4
FarRight_2-2016,As League of Nations,1
FarRight_2-2016,Ethiopian,1
FarRight_2-2016,Immigrant Absorption Ministry,1
FarRight_2-2016,George Habash,1
FarRight_2-2016,Migration Policy Ministry,2
FarRight_2-2016,Greece,2
FarRight_2-2016,Attorney General,2
FarRight_2-2016,Jeff Sessions,3
FarRight_2-2016,Emad,2
FarRight_2-2016,Bengali,2
FarRight_2-2016,Chamber of Commerce,1
FarRight_2-2016,Rolph,1
FarRight_2-2016,Jesus Wills,1
FarRight_2-2016,Robert A. Goins Shropshire,1
FarRight_2-2016,minister,1
FarRight_2-2016,Ryan,2
FarRight_2-2016,Nicky Butt,2
FarRight_2-2016,News Group Newspapers Limited,2
FarRight_2-2016,England,2
FarRight_2-2016,Westy Egmont,1
FarRight_2-2016,director,1
FarRight_2-2016,Immigrant Integration Lab,2
FarRight_2-2016,Boston College,1
FarRight_2-2016,World Bank,1
FarRight_2-2016,UAE,1
FarRight_2-2016,Chuck Schumer,2
FarRight_2-2016,Francois Guennoc,1
FarRight_2-2016,vice-president,1
FarRight_2-2016,Auberge des Migrants,1
FarRight_2-2016,National Space Technology,1
FarRight_2-2016,Anderson,2
FarRight_2-2016,Evangelical Immigration Table,1
FarRight_2-2016,TCU,1
FarRight_2-2016,Baylor,2
FarRight_2-2016,student,12
FarRight_2-2016,Fani-Kayode,1
FarRight_2-2016,Nigerians,1
FarRight_2-2016,Protestant,1
FarRight_2-2016,Chico State,1
FarRight_2-2016,Camp,1
FarRight_2-2016,Omar,2
FarRight_2-2016,LeBron,1
FarRight_2-2016,activist,1
FarRight_2-2016,Sputnik,1
FarRight_2-2016,IDF,1
FarRight_2-2016,Hamas,1
FarRight_2-2016,Bureij,2
FarRight_2-2016,University of Illinois Professor of International Law,1
FarRight_2-2016,Francis Boyle,1
FarRight_2-2016,British,6
FarRight_2-2016,Ambassador,2
FarRight_2-2016,Syria,2
FarRight_2-2016,Peter Ford,1
FarRight_2-2016,Brad Rocca,1
FarRight_2-2016,Met Office,1
FarRight_2-2016,Citizenship,1
FarRight_2-2016,Investment Unit,1
FarRight_2-2016,Vietnam,1
FarRight_2-2016,Deacon,1
FarRight_2-2016,Stephen Bentley,1
FarRight_2-2016,Bank Ltd,1
FarRight_2-2016,Mudashiru Obasa-led,1
FarRight_2-2016,Politics of the West —,1
FarRight_2-2016,Legge,2
FarRight_2-2016,House of Representatives,2
FarRight_2-2016,Baha Sadr,2
FarRight_2-2016,Dorcas International Institute,2
FarRight_2-2016,University of Houston Law Center,2
FarRight_2-2016,Indonesian,2
FarRight_2-2016,Singapore,2
FarRight_2-2016,International Organization for Migration,4
FarRight_2-2016,T-shirt,2
FarRight_2-2016,Oxford University,4
FarRight_2-2016,Scholar,2
FarRight_2-2016,Anheuser-Busch,2
FarRight_2-2016,co-founder,2
FarRight_2-2016,Adolphus Busch,2
FarRight_2-2016,Sirius,2
FarRight_2-2016,Bundesbank,2
FarRight_2-2016,Little Dragon Media,1
FarRight_2-2016,Slovenia,1
FarRight_2-2016,Iran,11
FarRight_2-2016,Somalia,1
FarRight_2-2016,Sudan,1
FarRight_2-2016,Yemen,1
FarRight_2-2016,Saudi,2
FarRight_2-2016,Malaysians,3
FarRight_2-2016,Iraqi,1
FarRight_2-2016,Burmese,1
FarRight_2-2016,Iranian,4
FarRight_2-2016,Guatemalan,2
FarRight_2-2016,Thakkar,1
FarRight_2-2016,Keystone,1
FarRight_2-2016,Executive,1
FarRight_2-2016,Muslim-majority,7
FarRight_2-2016,journalist,2
FarRight_2-2016,Guard,1
FarRight_2-2016,World Hijab,12
FarRight_2-2016,Travis Kalanick,2
FarRight_2-2016,majority-Muslim,8
FarRight_2-2016,Islam,22
FarRight_2-2016,non-Muslims,2
FarRight_2-2016,jihadi,3
FarRight_2-2016,Okorocha,4
FarRight_2-2016,Press Secretary,4
FarRight_2-2016,Sam Onwuemeodo,4
FarRight_2-2016,Governor,2
FarRight_2-2016,Bannon,3
FarRight_2-2016,muslim,2
FarRight_2-2016,Senate,3
FarRight_2-2016,Muslim Brotherhood,4
FarRight_2-2016,Jihadi,1
FarRight_2-2016,critic,1
FarRight_2-2016,Pakistan Supreme Court,1
FarRight_2-2016,Ahmed al-Tayeb,4
FarRight_2-2016,Sunni Islam,6
FarRight_2-2016,Islamic Jihad,1
FarRight_2-2016,Sharia-dominated,2
FarRight_2-2016,Jihadists,10
FarRight_2-2016,Salafi Jihadists,2
FarRight_2-2016,Islamic State,2
FarRight_2-2016,Islamists,3
FarRight_2-2016,Pakistani,1
FarRight_2-2016,Christianity,2
FarRight_2-2016,Brigitte Gabriel,1
FarRight_2-2016,founder,2
FarRight_2-2016,Lima-Taub,1
FarRight_2-2016,BBC,1
FarRight_2-2016,Gaffney,1
FarRight_2-2016,Khan,1
FarRight_2-2016,modern,1
FarRight_2-2016,Jews,19
FarRight_2-2016,New York,3
FarRight_2-2016,Senator,4
FarRight_2-2016,John McCain,4
FarRight_2-2016,Hindu,1
FarRight_2-2016,Daily Caller News Foundation,2
FarRight_2-2016,Islam Slimani,3
FarRight_2-2016,Sarah Rivali,3
FarRight_2-2016,Getty,1
FarRight_2-2016,NFL,1
FarRight_2-2016,Roger Goodell,1
FarRight_2-2016,CIA,1
FarRight_2-2016,Rob,1
FarRight_2-2016,Council on American-Islamic Relations,1
FarRight_2-2016,American-Islamic Relations,1
FarRight_2-2016,Michael Flynn,1
FarRight_2-2016,judge,2
FarRight_2-2016,Pat Elder,1
FarRight_2-2016,Director,1
FarRight_2-2016,National Coalition,1
FarRight_2-2016,Minority Leader,1
FarRight_2-2016,Muhammad,1
FarRight_2-2016,Cohn,1
FarRight_2-2016,Mnuchin,1
FarRight_2-2016,EPA,1
FarRight_2-2016,Meryl Streep,1
FarRight_2-2016,New Hampshire,1
FarRight_2-2016,Sunni,2
FarRight_2-2016,Donald J. Trump,1
FarRight_2-2016,Palpatine,1
FarRight_2-2016,chief strategist,1
FarRight_2-2016,Steve Bannon,1
FarRight_2-2016,education secretary,1
FarRight_2-2016,David Schaper,2
FarRight_2-2016,Kurdish,1
FarRight_2-2016,Sturgeon,1
FarRight_2-2016,National Council of Canadian Muslims,1
FarRight_2-2016,Taner Kilic,1
FarRight_2-2016,preacher,1
FarRight_2-2016,Fethullah Gulen,1
FarRight_2-2016,Auburn,1
FarRight_2-2016,St. Mary,1
FarRight_2-2016,Judge,1
FarRight_2-2016,Moustafa Kheir,1
FarRight_2-2016,Kyaw Soe Oo,1
FarRight_2-2016,Rohingya Muslims,1
FarRight_2-2016,Shia LaBeouf,2
FarRight_2-2016,Eric H. Holder Jr.,2
FarRight_2-2016,Uighur,1
FarRight_2-2016,Taliban,4
FarRight_2-2016,Cup,1
FarRight_2-2016,Qatar,1
FarRight_2-2016,Japan,1
FarRight_2-2016,Evan Vucci,1
FarRight_2-2016,Rebecca Morin,1
FarRight_2-2016,Mary Newman,1
FarRight_2-2016,U.S.-Mexico,1
FarRight_2-2016,Nations,1
FarRight_2-2016,Alita,1
FarRight_2-2016,Booker,1
FarRight_2-2016,Alabama,1
FarRight_2-2016,senator,1
FarRight_2-2016,Clinton,1
FarRight_2-2016,Scotland,1
FarRight_2-2016,Foreign Minister,1
FarRight_2-2016,Shah Mahmood Qureshi,1
FarRight_2-2016,Mirwaiz Umar Farooq,1
FarRight_2-2016,Osi Umenyiora,1
FarRight_2-2016,Justin Tuck,1
FarRight_2-2016,Hitler,1
FarRight_2-2016,Jewish American Affairs Committee,1
FarRight_2-2016,Indiana,1
FarRight_2-2016,European,1
FarRight_2-2016,Arab,3
FarRight_2-2016,Christians,2
FarRight_2-2016,Hispanic,2
FarRight_2-2016,anti-Semitic,2
FarRight_2-2016,U.N.-sponsored Conference on Disarmament,1
FarRight_2-2016,U.K. Labour Party,1
FarRight_2-2016,leader,2
FarRight_2-2016,Jeremy Corbyn,1
FarRight_2-2016,Corbyn,1
FarRight_2-2016,Olympic Games,1
FarRight_2-2016,Israeli,3
FarRight_2-2016,Benjamin Netanyahu,1
FarRight_2-2016,IPF,1
FarRight_2-2016,the Jewish state,1
FarRight_2-2016,guard,1
FarRight_2-2016,U.S. Army,1
FarRight_2-2016,Jew,2
FarRight_2-2016,Ayatollah,1
FarRight_2-2016,anti-American,2
FarRight_2-2016,Congresswoman,1
FarRight_2-2016,Defense Secretary,1
FarRight_2-2016,Patrick Shanahan,1
FarRight_2-2016,Afghanistan,2
FarRight_2-2016,United Nations World Conference Against Racism,1
FarRight_2-2016,Fox,1
FarRight_2-2016,Mayor,1
FarRight_2-2016,Eric Garcetti,1
FarRight_2-2016,Skid Row,1
FarRight_2-2016,warden,1
FarRight_2-2016,North Korea,1
FarRight_2-2016,scientist,1
FarRight_2-2016,Deputy,1
FarRight_2-2016,U.S. Trade,1
FarRight_2-2016,Jeffrey Gerrish,1
FarRight_2-2016,BB&T Corp.,1
FarRight_2-2016,SunTrust Banks Inc.,1
FarRight_2-2016,Michael T. Harpster,1
FarRight_2-2016,PSM,1
FarRight_2-2016,JUSSIE SMOLLETT,1
FarRight_2-2016,Spain,1
FarRight_2-2016,Juan Guaido,1
FarRight_2-2016,interim president,1
FarRight_2-2016,Secretary of State,1
FarRight_2-2016,Mike Pompeo,1
FarRight_2-2016,candidate,1
FarRight_2-2016,independent,1
FarRight_2-2016,Zeldin,1
FarRight_2-2016,Russian,1
FarRight_2-2016,Ukraine,1
FarRight_2-2016,Jewish National Fund,1
FarRight_2-2016,Teva,3
FarRight_2-2016,Mylan NV,3
FarRight_2-2016,Michael,2
FarRight_2-2016,communications director,1
FarRight_2-2016,Jewish Community Relations Council of Minnesota,1
FarRight_2-2016,Austria,4
FarRight_2-2016,FPO,1
FarRight_2-2016,Jewish Community Relations Council,1
FarRight_2-2016,Jeremy Ben-Ami,1
FarRight_2-2016,Britain,1
FarRight_2-2016,Poland,1
FarRight_2-2016,Ayton,1
FarRight_2-2016,P.J. Tucker,1
FarRight_2-2016,Arkansas,1
FarRight_2-2016,Dustin Thomas,1
FarRight_2-2016,Texas A&M,1
FarRight_2-2016,Tim Walz,1
FarRight_2-2016,Jewish Board,1
FarRight_2-2016,Tasmanian,1
FarRight_2-2016,defender,1
FarRight_2-2016,IPL,1
FarRight_2-2016,Dow Jones Industrial Average,1
FarRight_2-2016,Labor Department,1
FarRight_2-2016,presenter,1
FarRight_2-2016,The Times,1
FarRight_2-2016,Venezuela,2
FarRight_2-2016,Jonas Jerebko,2
FarRight_2-2016,Celine,2
FarRight_2-2016,Steven Greenhut,2
FarRight_2-2016,N.Y.,1
FarRight_2-2016,Black History Month,1
FarRight_2-2016,Tommy Terrific,1
FarRight_2-2016,Wacky Magic,1
FarRight_2-2016,Clarence,1
FarRight_2-2016,Envoy,1
FarRight_2-2016,Zalmay Khalilzad,1
FarRight_2-2016,U.S. Justice Department,1
FarRight_2-2016,U.S. Coast Guard,1
FarRight_2-2016,breaker,1
FarRight_2-2016,river,1
FarRight_2-2016,Jewish-only,1
FarRight_2-2017,Citizenship and Multicultural Affairs,1
FarRight_2-2017,finance minister,1
FarRight_2-2017,Affairs Minister,2
FarRight_2-2017,Asian,3
FarRight_2-2017,Germany,1
FarRight_2-2017,Mexico,3
FarRight_2-2017,Nepal,1
FarRight_2-2017,Obama,1
FarRight_2-2017,his,2
FarRight_2-2017,Mexican,1
FarRight_2-2017,McClintock,1
FarRight_2-2017,Americans,2
FarRight_2-2017,Eagle Pass Station Marine Unit,1
FarRight_2-2017,Honduran,1
FarRight_2-2017,Trump,1
FarRight_2-2017,Border Patrol,1
FarRight_2-2017,Jallyn Sualog,1
FarRight_2-2017,Health and Human Services’ Office of Refugee Resettlement,1
FarRight_2-2017,zealots,1
FarRight_2-2017,Nadler,1
FarRight_2-2017,Pelosi,1
FarRight_2-2017,CNN,1
FarRight_2-2017,El Salvador,1
FarRight_2-2017,Illegals,1
FarRight_2-2017,Chinese,1
FarRight_2-2017,UCF World Hijab,1
FarRight_2-2017,World Hijab,2
FarRight_2-2017,Islam,5
FarRight_2-2017,prophet,2
FarRight_2-2017,ISLAM,1
FarRight_2-2017,Jews,4
FarRight_2-2017,Nirenstein,1
FarRight_2-2017,European,1
FarRight_2-2017,Jewish,3
FarRight_2-2017,buyer,2
FarRight_2-2018,Border Wall,1
FarRight_2-2018,Congress,1
FarRight_2-2018,EU,1
FarRight_2-2018,Na,1
FarRight_2-2018,Netanyahu,1
FarRight_2-2018,Gantz,1
FarRight_2-2018,Freedom Caucus,1
FarRight_2-2018,GOP,1
FarRight_2-2018,interpreter,1
FarRight_2-2018,Paul Duggan,1
FarRight_2-2018,Peter Jamison,1
FarRight_2-2018,Drug Enforcement Administration,1
FarRight_2-2018,Chicago Tribune,1
FarRight_2-2018,Twitter,1
FarRight_2-2018,Facebook,2
FarRight_2-2018,Tribune,1
FarRight_2-2018,Gladys Knight,1
FarRight_2-2018,Gorney,1
FarRight_2-2018,Kasim Khuram,1
FarRight_2-2018,Robert Mueller,1
FarRight_2-2018,She,1
FarRight_2-2018,her,4
FarRight_2-2018,President,1
FarRight_2-2018,Salvador Sanchez Ceren,1
FarRight_2-2018,FMLN,1
FarRight_2-2018,Sonequa Martin-Green,1
FarRight_2-2018,Anthony Rapp,1
FarRight_2-2018,Doug Jones,1
FarRight_2-2018,Mary Wiseman,1
FarRight_2-2018,David Bowie,1
FarRight_2-2018,Israa,1
FarRight_2-2018,English,1
FarRight_2-2018,Channel,1
FarRight_2-2018,he,1
FarRight_2-2018,Samson,1
FarRight_2-2018,Mexico,1
FarRight_2-2018,America,2
FarRight_2-2018,Rhode Island,1
FarRight_2-2018,Gov.,1
FarRight_2-2018,Gina Raimondo,1
FarRight_2-2018,Solskjaer,1
FarRight_2-2018,his,2
FarRight_2-2018,New York,2
FarRight_2-2018,Chuck Schumer,1
FarRight_2-2018,Peter Berger,1
FarRight_2-2018,sociologist,1
FarRight_2-2018,Marxists,1
FarRight_2-2018,Qahtani,1
FarRight_2-2018,Red Devils,1
FarRight_2-2018,Lindelof,1
FarRight_2-2018,Brits,1
FarRight_2-2018,Booker,2
FarRight_2-2018,Gyllenhaal,1
FarRight_2-2018,Tina,2
FarRight_2-2018,Supreme Court,1
FarRight_2-2018,Morrisons,1
FarRight_2-2018,Massachusetts,1
FarRight_2-2018,Elizabeth Warren,1
FarRight_2-2018,Ben Kew,1
FarRight_2-2018,Clintons,1
FarRight_2-2018,Jay-Z,1
FarRight_2-2018,Virginia,1
FarRight_2-2018,McIntyre,1
FarRight_2-2018,Biden,1
FarRight_2-2018,US,2
FarRight_2-2018,Loyola Marymount,3
FarRight_2-2018,Los Angeles Lakers,1
FarRight_2-2018,JaVale McGee,1
FarRight_2-2018,Tartt,1
FarRight_2-2018,politician,4
FarRight_2-2018,Jews,17
FarRight_2-2018,Jew,4
FarRight_2-2018,Arab,1
FarRight_2-2018,Jewish,2
FarRight_2-2018,India,1
FarRight_2-2018,Trump,1
FarRight_2-2018,model,1
FarRight_2-2018,Humanist,1
