Topic,Entity,Frequency
Islamophobia,United States,2
Islamophobia,U.S. Federal Reserve,1
Islamophobia,congresswoman,3
Islamophobia,UK,4
Islamophobia,majority-Muslim,1
Islamophobia,Muslims,6
Islamophobia,Iranian,12
Islamophobia,President,1
Islamophobia,predominantly Muslim,2
Islamophobia,Yusef Hagi Ahmed,1
Islamophobia,Taliban,1
Islamophobia,World Hijab,2
Islamophobia,Germany,3
Islamophobia,Islamists,6
Islamophobia,Walid Shoebat Trump,1
Islamophobia,Islam,30
Islamophobia,cult,2
Islamophobia,Doctrine,1
Islamophobia,Rohingya Muslims,4
Islamophobia,her,6
Islamophobia,Super Bowl,2
Islamophobia,his,2
Islamophobia,Eli Gilbert,1
Islamophobia,Jenna Learned,1
Islamophobia,islam,1
Islamophobia,founder,1
Islamophobia,Muhammad,1
Islamophobia,author,1
Islamophobia,Javier Zarracina,1
Islamophobia,Nigeria,1
Islamophobia,Amsterdam University,1
Islamophobia,Nation of Islam,1
Islamophobia,Haqqani Network,3
Islamophobia,Isis,3
Islamophobia,Muhammad Morsi,1
Islamophobia,African-American,1
Islamophobia,African American,4
Islamophobia,American,1
Islamophobia,candidate,1
Islamophobia,Ayan Hirsi Ali,1
Islamophobia,critic,1
Islamophobia,Joram van Klaveren,1
Islamophobia,jihadi,1
Islamophobia,British,1
Islamophobia,Chinese,1
Anti-semitism,Jewish,382
Anti-semitism,Jews,77
Anti-semitism,Post,1
Anti-semitism,anti-Semitic,20
Anti-semitism,Hitler,1
Anti-semitism,Christ,1
Anti-semitism,Indiana,1
Anti-semitism,She,1
Anti-semitism,Americans,8
Anti-semitism,her,3
Anti-semitism,U.S.,10
Anti-semitism,U.S. Supreme Court,1
Anti-semitism,FCC,1
Anti-semitism,Congress,5
Anti-semitism,U.K. Labour Party,3
Anti-semitism,leader,7
Anti-semitism,Jeremy Corbyn,3
Anti-semitism,he,8
Anti-semitism,Israel,4
Anti-semitism,Greenblatt,6
Anti-semitism,Economic Justice,4
Anti-semitism,politician,3
Anti-semitism,Jew,14
Anti-semitism,Satanic,4
Anti-semitism,the Jewish state,2
Anti-semitism,Anti-Defamation League,1
Anti-semitism,Michigan,1
Anti-semitism,Rep.,2
Anti-semitism,Rashida Tlaib,1
Anti-semitism,United Nations World Conference Against Racism,1
Anti-semitism,anti-American,1
Anti-semitism,Mayor,1
Anti-semitism,Eric Garcetti,1
Anti-semitism,Skid Row,1
Anti-semitism,chairman Rep.,1
Anti-semitism,Ted Deutch,1
Anti-semitism,Kenny Marchant,1
Anti-semitism,PSM,1
Anti-semitism,student,1
Anti-semitism,JUSSIE SMOLLETT,1
Anti-semitism,Corbyn,4
Anti-semitism,Israelis,2
Anti-semitism,Olympic Games,2
Anti-semitism,his,11
Anti-semitism,Israeli,2
Anti-semitism,Prime Minister,2
Anti-semitism,Benjamin Netanyahu,2
Anti-semitism,Indonesia,1
Anti-semitism,Texas,1
Anti-semitism,Mexico,1
Anti-semitism,Arab,1
Anti-semitism,French,16
Anti-semitism,President,3
Anti-semitism,Emmanuel Macron,2
Anti-semitism,France,1
Anti-semitism,Melissa Plotkin,2
Anti-semitism,spokeswoman,2
Anti-semitism,York Jewish Community Center,2
Anti-semitism,president,1
Anti-semitism,Kirsten Gillibrand,1
Anti-semitism,Brian Avery,2
Anti-semitism,American,3
Anti-semitism,anti-Russian,2
Anti-semitism,Sarsour,2
Anti-semitism,congresswoman,2
Anti-semitism,Russia,1
Anti-semitism,Maduro,1
Anti-semitism,James Petty,1
Anti-semitism,Democratic Party,1
Anti-semitism,Smollett,1
Anti-semitism,actor,1
Anti-semitism,Syrian,1
Anti-semitism,the Jewish State,1
Anti-semitism,Red Ice Radio,1
Anti-semitism,NBC,2
Anti-semitism,Jewish Telegraphic Agency,2
Anti-semitism,Anti-Semitic,2
Anti-semitism,Ames Friedman,1
Anti-semitism,PR,1
Anti-semitism,executive,1
Anti-semitism,New York,5
Anti-semitism,UK,1
Anti-semitism,communications director,1
Anti-semitism,Jewish Community Relations Council of Minnesota,1
Anti-semitism,Lazaruses,3
Anti-semitism,independent,1
Anti-semitism,Peace,3
Anti-semitism,Massachusetts,6
Anti-semitism,Elizabeth Warren,6
Anti-semitism,Booker,6
Anti-semitism,IPL,3
Anti-semitism,AVEO Pharma,3
Anti-semitism,NDA,3
Anti-semitism,Teva,3
Anti-semitism,Mylan NV,3
Anti-semitism,Jonas Jerebko,4
Anti-semitism,Celine,4
Anti-semitism,Trump,2
Anti-semitism,Envoy,2
Anti-semitism,Zalmay Khalilzad,2
Anti-semitism,Taliban,2
Anti-semitism,presenter,2
Anti-semitism,Twitter,3
Anti-semitism,The Times,2
Anti-semitism,Japan,4
Anti-semitism,Steven Murdoch,2
Anti-semitism,architect,2
Anti-semitism,specialist,2
Anti-semitism,Ashkenazi Jews,2
Anti-semitism,He,4
Anti-semitism,Inspire Medical Systems Inc.,2
Anti-semitism,Chevron,2
Anti-semitism,Committee,1
Anti-semitism,composer,1
Anti-semitism,NASA,2
Anti-semitism,Clarence,1
Anti-semitism,"Banco Bilbao Vizcaya Argentaria SA 
        BBVA",2
Anti-semitism,Spanish,2
Anti-semitism,Novo Nordisk,2
Anti-semitism,Jason Roy,2
Anti-semitism,Jewish Community Relations Council,1
Anti-semitism,Muslim,2
Anti-semitism,Naftali Bennett,1
Anti-semitism,Italy,1
Anti-semitism,host,2
Anti-semitism,California,2
Anti-semitism,Egyptian,2
Anti-semitism,Chinese,1
Anti-semitism,Ilhan Omar,2
Anti-semitism,Poles,2
Anti-semitism,Christians,1
Anti-semitism,New Israel Fund,1
Anti-semitism,Orthodox,1
Anti-semitism,Facebook,1
Anti-semitism,Google,1
Anti-semitism,Bible,1
Anti-semitism,America,1
Anti-semitism,Israel Policy Forum,1
Anti-semitism,BDS,1
Transphobia,student,1
Transphobia,Afghan,1
