Dataset,Topic,Entity,Frequency
FarRight_2-2016,Immigration,David Coleman,1
FarRight_2-2016,Immigration,Beltway Democrat,1
FarRight_2-2016,Immigration,Customs,2
FarRight_2-2016,Immigration,Illegals,2
FarRight_2-2016,Immigration,Argentina,4
FarRight_2-2016,Immigration,Japan,2
FarRight_2-2016,Immigration,Ukraine,2
FarRight_2-2016,Immigration,Ferrera,2
FarRight_2-2016,Immigration,Schmarsel,2
FarRight_2-2016,Immigration,Germany,2
FarRight_2-2016,Immigration,truck driver,1
FarRight_2-2016,Immigration,UNHCR,1
FarRight_2-2016,Immigration,Immigration NZ,2
FarRight_2-2016,Immigration,Camila Cabello,1
FarRight_2-2016,Immigration,British,1
FarRight_2-2016,Immigration,Israel,2
FarRight_2-2016,Immigration,Alba,1
FarRight_2-2016,Immigration,Sudan,1
FarRight_2-2016,Immigration,Bangladesh,4
FarRight_2-2016,Immigration,Norwegian,2
FarRight_2-2016,Immigration,Refugee Council,1
FarRight_2-2016,Immigration,Tunisian,2
FarRight_2-2016,Immigration,Rohingya,1
FarRight_2-2016,Immigration,Jordan,2
FarRight_2-2016,Immigration,California,1
FarRight_2-2016,Immigration,He,2
FarRight_2-2016,Immigration,Malaysians,4
FarRight_2-2016,Immigration,United Nations Refugee Agency,2
FarRight_2-2016,Immigration,Iraqi,2
FarRight_2-2016,Immigration,Germanic,2
FarRight_2-2016,Immigration,Whitaker,1
FarRight_2-2016,Immigration,Gazan,1
FarRight_2-2016,Immigration,Bill Clinton,1
FarRight_2-2016,Immigration,Nakivale,4
FarRight_2-2016,Immigration,Uganda,4
FarRight_2-2016,Islamophobia,Muslim,43
FarRight_2-2016,Islamophobia,Sunni Muslim,1
FarRight_2-2016,Islamophobia,Syria,4
FarRight_2-2016,Islamophobia,Muslim Brotherhood,1
FarRight_2-2016,Islamophobia,Giuliani,1
FarRight_2-2016,Islamophobia,Ban,2
FarRight_2-2016,Islamophobia,Muslims,34
FarRight_2-2016,Islamophobia,his,2
FarRight_2-2016,Islamophobia,Islamophobic,3
FarRight_2-2016,Islamophobia,executive,1
FarRight_2-2016,Islamophobia,White House,1
FarRight_2-2016,Islamophobia,Trump,3
FarRight_2-2016,Islamophobia,Central Intelligence Agency,1
FarRight_2-2016,Islamophobia,Sunni,3
FarRight_2-2016,Islamophobia,Americans,2
FarRight_2-2016,Islamophobia,muslim,3
FarRight_2-2016,Islamophobia,FBI,1
FarRight_2-2016,Islamophobia,Islam,8
FarRight_2-2016,Islamophobia,Al Qaeda,1
FarRight_2-2016,Islamophobia,Soviet,1
FarRight_2-2016,Islamophobia,Afghanistan,1
FarRight_2-2016,Islamophobia,Islamists,6
FarRight_2-2016,Islamophobia,Muslim Fashions,1
FarRight_2-2016,Islamophobia,Washington,1
FarRight_2-2016,Islamophobia,Nigeria,1
FarRight_2-2016,Islamophobia,America,2
FarRight_2-2016,Islamophobia,Jihadists,2
FarRight_2-2016,Islamophobia,negro,1
FarRight_2-2016,Islamophobia,founder,1
FarRight_2-2016,Islamophobia,Nation of Islam,1
FarRight_2-2016,Islamophobia,French,2
FarRight_2-2016,Islamophobia,UK,2
FarRight_2-2016,Islamophobia,Mexicans,2
FarRight_2-2016,Islamophobia,American,1
FarRight_2-2016,Islamophobia,Christianity and Islam,1
FarRight_2-2016,Islamophobia,Sheridan,1
FarRight_2-2016,Islamophobia,Jewish,1
FarRight_2-2016,Islamophobia,China,1
FarRight_2-2016,Islamophobia,Indonesia,2
FarRight_2-2016,Islamophobia,Shia,1
FarRight_2-2016,Islamophobia,Pope Francis,1
FarRight_2-2016,Islamophobia,Myanmar,1
FarRight_2-2016,Islamophobia,Rohingya,1
FarRight_2-2016,Islamophobia,She,2
FarRight_2-2016,Islamophobia,Zeldin Islamophobic,1
FarRight_2-2016,Islamophobia,House Foreign Affairs Subcommittee,1
FarRight_2-2016,Islamophobia,Shiite Muslim,1
FarRight_2-2016,Islamophobia,Christians,1
FarRight_2-2016,Islamophobia,Keller,1
FarRight_2-2016,Islamophobia,Iran,1
FarRight_2-2016,Islamophobia,Israel,1
FarRight_2-2016,Islamophobia,anti-Islam,1
FarRight_2-2016,Islamophobia,politician,1
FarRight_2-2016,Islamophobia,Pauline Hanson,1
FarRight_2-2016,Islamophobia,African,1
FarRight_2-2016,Islamophobia,United States,1
FarRight_2-2016,Anti-semitism,Jewish,426
FarRight_2-2016,Anti-semitism,Jews,2
FarRight_2-2016,Anti-semitism,Jewish Home Party,10
FarRight_2-2016,Anti-semitism,Naftali Bennett,4
FarRight_2-2016,Anti-semitism,leader,6
FarRight_2-2016,Anti-semitism,American,2
FarRight_2-2016,Anti-semitism,Stream,2
FarRight_2-2016,Anti-semitism,Netanyahu,2
FarRight_2-2016,Anti-semitism,Rotem,2
FarRight_2-2016,Anti-semitism,Turkey,2
FarRight_2-2016,Anti-semitism,Britain,2
FarRight_2-2016,Anti-semitism,Donald Trump,2
FarRight_2-2016,Anti-semitism,Judaism,2
FarRight_2-2016,Anti-semitism,David Lange,2
FarRight_2-2016,Anti-semitism,Judeo-Christian,1
FarRight_2-2016,Anti-semitism,Western,1
FarRight_2-2016,Anti-semitism,student,1
FarRight_2-2016,Anti-semitism,Jewish Hospital,1
FarRight_2-2016,Anti-semitism,Israel,2
FarRight_2-2017,Immigration,Australian,2
FarRight_2-2017,Immigration,Ronil Singh,1
FarRight_2-2017,Immigration,Republicans,1
FarRight_2-2017,Immigration,EBC,1
FarRight_2-2017,Immigration,Obama,1
FarRight_2-2017,Immigration,Illegals,1
FarRight_2-2017,Immigration,EU,5
FarRight_2-2017,Immigration,Argentina,2
FarRight_2-2017,Immigration,Japan,1
FarRight_2-2017,Immigration,Ukraine,1
FarRight_2-2017,Transphobia,Canada International Pro-family Resistance Transgender,2
FarRight_2-2017,Transphobia,Richard Moorhead,1
FarRight_2-2017,Transphobia,Big League Politics,1
FarRight_2-2017,Transphobia,Orwellian,1
FarRight_2-2017,Transphobia,activist,3
FarRight_2-2017,Transphobia,her,1
FarRight_2-2017,Transphobia,OutServe-Servicemembers Legal Defense Network,1
FarRight_2-2017,Transphobia,Adam,1
FarRight_2-2017,Transphobia,World Professional Association for Transgender Health,1
FarRight_2-2017,Transphobia,Rebekah,1
FarRight_2-2017,Transphobia,cyclist,1
FarRight_2-2017,Transphobia,New Zealand,1
FarRight_2-2017,Transphobia,weightlifter,1
FarRight_2-2017,Islamophobia,Muslim,7
FarRight_2-2017,Islamophobia,Islam,3
FarRight_2-2017,Islamophobia,Russia,1
FarRight_2-2017,Islamophobia,Muslims,4
FarRight_2-2017,Islamophobia,Serbs,1
FarRight_2-2017,Islamophobia,muslim,2
FarRight_2-2018,Immigration,Border Wall,1
FarRight_2-2018,Immigration,Trump,1
FarRight_2-2018,Immigration,Mexico,1
FarRight_2-2018,Immigration,Mexican,4
FarRight_2-2018,Immigration,Center for Immigration Studies,1
FarRight_2-2018,Immigration,Jessica Vaughan,1
FarRight_2-2018,Immigration,African,1
FarRight_2-2018,Immigration,America,1
FarRight_2-2018,Immigration,Fairness,1
FarRight_2-2018,Immigration,Honduran,1
FarRight_2-2018,Immigration,El Salvador,1
FarRight_2-2018,Immigration,Obama,1
FarRight_2-2018,Immigration,Dwivedy,1
FarRight_2-2018,Immigration,Immigration Voice,1
FarRight_2-2018,Immigration,Border Patrol,1
FarRight_2-2018,Immigration,Times,1
FarRight_2-2018,Immigration,columnist,1
FarRight_2-2018,Immigration,Australia,1
FarRight_2-2018,Immigration,Nauru,1
FarRight_2-2018,Islamophobia,Islam,5
FarRight_2-2018,Anti-semitism,politician,5
FarRight_2-2018,Anti-semitism,Jews,33
FarRight_2-2018,Anti-semitism,Barack Obama,1
FarRight_2-2018,Anti-semitism,she,1
FarRight_2-2018,Anti-semitism,Jew,5
FarRight_2-2018,Anti-semitism,American,1
FarRight_2-2018,Anti-semitism,Jewish,13
FarRight_2-2018,Anti-semitism,Barr,1
FarRight_2-2018,Anti-semitism,devout,1
