Year,Entity,Frequency
FarRight_2-2018,Mexican,4
FarRight_2-2018,Center for Immigration Studies,1
FarRight_2-2018,Jessica Vaughan,1
FarRight_2-2018,African,1
FarRight_2-2018,America,1
FarRight_2-2018,Fairness,1
FarRight_2-2018,Honduran,1
FarRight_2-2018,El Salvador,1
FarRight_2-2018,Obama,1
FarRight_2-2018,Dwivedy,1
FarRight_2-2018,Immigration Voice,1
FarRight_2-2018,Border Patrol,1
FarRight_2-2018,Times,1
FarRight_2-2018,columnist,1
FarRight_2-2018,Australia,1
FarRight_2-2018,Nauru,1
FarRight_2-2018,Islam,5
FarRight_2-2018,politician,5
FarRight_2-2018,Jews,33
FarRight_2-2018,Barack Obama,1
FarRight_2-2018,she,1
FarRight_2-2018,Jew,5
FarRight_2-2018,American,1
FarRight_2-2018,Jewish,13
FarRight_2-2018,Barr,1
FarRight_2-2018,devout,1
