Topic,Entity,Frequency
Immigration,Lebanon,2
Immigration,Syrian,2
Islamophobia,India,1
Islamophobia,Muslims,34
Islamophobia,Donald Trump,1
Islamophobia,executive,2
Islamophobia,U.S.,4
Islamophobia,majority-Muslim,2
Islamophobia,American,5
Islamophobia,Trump,9
Islamophobia,Security Adviser,1
Islamophobia,Michael Flynn,1
Islamophobia,anti-Muslim,1
Islamophobia,Iran,3
Islamophobia,Sunni,4
Islamophobia,president,3
Islamophobia,predominantly Muslim,2
Islamophobia,he,2
Islamophobia,Secretary of State,1
Islamophobia,Madeleine Albright,1
Islamophobia,Muslim,57
Islamophobia,J.K.,1
Islamophobia,Ban,1
Islamophobia,Islam,5
Islamophobia,Keller,2
Islamophobia,America,2
Islamophobia,Americans,2
Islamophobia,Israel,2
Islamophobia,anti-Islam,2
Islamophobia,politician,2
Islamophobia,Pauline Hanson,2
Islamophobia,British,1
Islamophobia,France,1
Islamophobia,Sunni Muslim,1
Islamophobia,Syria,6
Islamophobia,journalist,1
Islamophobia,Turkey,1
Islamophobia,World Hijab,10
Islamophobia,Spengler,2
Islamophobia,Arabs,2
Islamophobia,her,4
Islamophobia,United Kingdom,1
Islamophobia,Jews,2
Islamophobia,Muslim Council of Elders,1
Islamophobia,Sheikh,1
Islamophobia,student,1
Islamophobia,Director,1
Islamophobia,Robert Spencer,1
Islamophobia,Ayan Hirsi Ali,1
Islamophobia,critic,1
Islamophobia,Christian,3
Islamophobia,Prophet,1
Islamophobia,Muhammad,1
Islamophobia,islam,1
Islamophobia,non-Muslims,1
Islamophobia,Nation of Islam,1
Islamophobia,leader,1
Islamophobia,Louis Farrakhan,1
Islamophobia,Pakistani,1
Islamophobia,jihadi,1
Islamophobia,US,1
Islamophobia,Chinese Communist Party,2
Islamophobia,Iraq,4
Islamophobia,Pope Francis,2
Islamophobia,Shia LaBeouf,2
Islamophobia,China,2
Islamophobia,Uighur Muslims,2
Islamophobia,Windsor Regional Hospital,1
Islamophobia,Sky News,1
Islamophobia,host,1
Islamophobia,Rita Panahi,1
Islamophobia,Chinese,1
Islamophobia,Islam Slimani,1
Islamophobia,President,1
Islamophobia,Muslim-majority,1
Islamophobia,Sarah Rivali,1
Anti-semitism,Jewish,523
Anti-semitism,Jews,35
Anti-semitism,American,1
Anti-semitism,Jew,12
Anti-semitism,"Easter Message
Catholic Online Good",1
Anti-semitism,Jewish-Catholic Relations,1
Anti-semitism,Rep.,4
Anti-semitism,King,1
Anti-semitism,Ilhan Omar,1
Anti-semitism,Voice for Peace,1
Anti-semitism,Anti-Defamation League,1
Anti-semitism,Michigan,1
Anti-semitism,Rashida Tlaib,1
Anti-semitism,United Nations World Conference Against Racism,1
Anti-semitism,anti-Semitic,3
Anti-semitism,anti-American,1
Anti-semitism,IPF,1
Anti-semitism,U.S.,1
Anti-semitism,the Jewish state,1
Anti-semitism,Barr,1
Anti-semitism,devout,1
Anti-semitism,Polish,4
Anti-semitism,Hitler,2
Anti-semitism,Holocaust,2
Anti-semitism,Poland,1
Anti-semitism,Israeli,1
Anti-semitism,Congress,2
Anti-semitism,Judeo-Christian,2
Anti-semitism,Theological,3
Anti-semitism,Partisan Army,1
Anti-semitism,Greenblatt,1
Anti-semitism,She,1
Anti-semitism,Americans,1
Anti-semitism,lawmaker,1
Anti-semitism,pro-Jewish,1
Anti-semitism,neo-Nazi,2
Anti-semitism,anti-Semitic trope Ungar-Sargon,1
Anti-semitism,politician,6
Anti-semitism,Lazarow — anti-Semitic,2
Anti-semitism,Nirenstein,1
Anti-semitism,European,1
Anti-semitism,Advertisement Anti-Semitic,1
Anti-semitism,Democrat Party,2
Anti-semitism,Catholics,1
Anti-semitism,Foreign Affairs,1
Anti-semitism,Israel,1
Anti-semitism,Labour,1
Anti-semitism,his,1
Anti-semitism,Satanic,2
