Year,Entity,Frequency
FarRight_2-2016,attorney,3
FarRight_2-2016,His,2
FarRight_2-2016,Colombian,1
FarRight_2-2016,Boochani,1
FarRight_2-2016,Sierra Leone,1
FarRight_2-2016,him,1
FarRight_2-2016,Muslim,82
FarRight_2-2016,Becca Heller,1
FarRight_2-2016,director,3
FarRight_2-2016,International Refugee Assistance Project,1
FarRight_2-2016,Illegals,2
FarRight_2-2016,executive,12
FarRight_2-2016,Trump Adan SalazarPrison,1
FarRight_2-2016,Judge,1
FarRight_2-2016,James Robart,1
FarRight_2-2016,United States Citizenship and Immigration Services,1
FarRight_2-2016,USCIS,2
FarRight_2-2016,Migration Policy Institute,1
FarRight_2-2016,independent,1
FarRight_2-2016,Mexican,1
FarRight_2-2016,her,5
FarRight_2-2016,Kentucky,1
FarRight_2-2016,Iraqi,2
FarRight_2-2016,Refugee Act,2
FarRight_2-2016,Jimmy Carter,1
FarRight_2-2016,Muslims,35
FarRight_2-2016,Kuwait,1
FarRight_2-2016,Peter Thiel,1
FarRight_2-2016,New Zealand,1
FarRight_2-2016,Phoenix Convention Center,1
FarRight_2-2016,student,3
FarRight_2-2016,Israelis,2
FarRight_2-2016,Zoroastrians,1
FarRight_2-2016,BDS,1
FarRight_2-2016,Iran,4
FarRight_2-2016,Somali,3
FarRight_2-2016,Iraq,6
FarRight_2-2016,America,3
FarRight_2-2016,Obama,2
FarRight_2-2016,Hungarian,1
FarRight_2-2016,Schultz,1
FarRight_2-2016,Twitter @jeff_poor ClipsBorder WallDonald TrumpFox & FriendsFox,1
FarRight_2-2016,Ryan,1
FarRight_2-2016,Wheaton College,1
FarRight_2-2016,Dennis Hanno,1
FarRight_2-2016,non-Europeans,1
FarRight_2-2016,Jeff Jacoby,1
FarRight_2-2016,All-Democratic,1
FarRight_2-2016,"Rich Lowry
Biden",1
FarRight_2-2016,Virginia,1
FarRight_2-2016,Chancellor,1
FarRight_2-2016,German,4
FarRight_2-2016,Greek,4
FarRight_2-2016,MS-13,1
FarRight_2-2016,English-speaking,2
FarRight_2-2016,Congress,2
FarRight_2-2016,Justin,1
FarRight_2-2016,Barack Obama,1
FarRight_2-2016,George W. Bush,1
FarRight_2-2016,American,10
FarRight_2-2016,Americans,3
FarRight_2-2016,European,2
FarRight_2-2016,Merkel,1
FarRight_2-2016,Mohammed Deif,1
FarRight_2-2016,Lukasz Niec,1
FarRight_2-2016,CIS,1
FarRight_2-2016,City Councilman,1
FarRight_2-2016,Chad Oberson,1
FarRight_2-2016,Immigration Voice,3
FarRight_2-2016,assistant director,3
FarRight_2-2016,Center for Immigration Studies,3
FarRight_2-2016,Honduras,3
FarRight_2-2016,governor,3
FarRight_2-2016,Chuck Schumer,1
FarRight_2-2016,Border Wall &,1
FarRight_2-2016,Indian,3
FarRight_2-2016,Ocasio-Cortez,1
FarRight_2-2016,Director,3
FarRight_2-2016,Sarah Saldaña,2
FarRight_2-2016,Central,2
FarRight_2-2016,Hispanics,1
FarRight_2-2016,Biden,1
FarRight_2-2016,count,1
FarRight_2-2016,Jallyn Sualog,1
FarRight_2-2016,Health and Human Services’ Office of Refugee Resettlement,1
FarRight_2-2016,zealots,1
FarRight_2-2016,English,1
FarRight_2-2016,Channel,1
FarRight_2-2016,Fairness,2
FarRight_2-2016,El Salvador,2
FarRight_2-2016,Republican House,1
FarRight_2-2016,Paul Ryan,1
FarRight_2-2016,ADEQ,1
FarRight_2-2016,Office of Border Environmental Protection,1
FarRight_2-2016,McClintock,1
FarRight_2-2016,Nevada,1
FarRight_2-2016,Nepal,1
FarRight_2-2016,South African,1
FarRight_2-2016,White House,1
FarRight_2-2016,NAFTA,2
FarRight_2-2016,Westy Egmont,2
FarRight_2-2016,Immigrant Integration Lab,4
FarRight_2-2016,Boston College,2
FarRight_2-2016,World Bank,1
FarRight_2-2016,UAE,1
FarRight_2-2016,Britons,1
FarRight_2-2016,Customs,1
FarRight_2-2016,Australia,1
FarRight_2-2016,North,1
FarRight_2-2016,India,1
FarRight_2-2016,U.S.,5
FarRight_2-2016,majority-Muslim,2
FarRight_2-2016,Security Adviser,1
FarRight_2-2016,Michael Flynn,1
FarRight_2-2016,anti-Muslim,1
FarRight_2-2016,Sunni,4
FarRight_2-2016,predominantly Muslim,2
FarRight_2-2016,he,2
FarRight_2-2016,Secretary of State,1
FarRight_2-2016,Madeleine Albright,1
FarRight_2-2016,J.K.,1
FarRight_2-2016,Ban,1
FarRight_2-2016,Islam,5
FarRight_2-2016,Keller,2
FarRight_2-2016,anti-Islam,2
FarRight_2-2016,politician,2
FarRight_2-2016,Pauline Hanson,2
FarRight_2-2016,British,1
FarRight_2-2016,France,1
FarRight_2-2016,Sunni Muslim,1
FarRight_2-2016,Syria,6
FarRight_2-2016,journalist,1
FarRight_2-2016,Turkey,1
FarRight_2-2016,World Hijab,10
FarRight_2-2016,Spengler,2
FarRight_2-2016,Arabs,2
FarRight_2-2016,United Kingdom,1
FarRight_2-2016,Muslim Council of Elders,1
FarRight_2-2016,Sheikh,1
FarRight_2-2016,Robert Spencer,1
FarRight_2-2016,Ayan Hirsi Ali,1
FarRight_2-2016,critic,1
FarRight_2-2016,Prophet,1
FarRight_2-2016,Muhammad,1
FarRight_2-2016,islam,1
FarRight_2-2016,non-Muslims,1
FarRight_2-2016,Nation of Islam,1
FarRight_2-2016,leader,1
FarRight_2-2016,Louis Farrakhan,1
FarRight_2-2016,jihadi,1
FarRight_2-2016,Chinese Communist Party,2
FarRight_2-2016,Pope Francis,2
FarRight_2-2016,Shia LaBeouf,2
FarRight_2-2016,China,2
FarRight_2-2016,Uighur Muslims,2
FarRight_2-2016,Windsor Regional Hospital,1
FarRight_2-2016,Sky News,1
FarRight_2-2016,host,1
FarRight_2-2016,Rita Panahi,1
FarRight_2-2016,Chinese,1
FarRight_2-2016,Islam Slimani,1
FarRight_2-2016,Muslim-majority,1
FarRight_2-2016,Sarah Rivali,1
FarRight_2-2016,Jewish,451
FarRight_2-2016,Jew,5
FarRight_2-2016,"Easter Message
Catholic Online Good",1
FarRight_2-2016,Jewish-Catholic Relations,1
FarRight_2-2016,Rep.,4
FarRight_2-2016,King,1
FarRight_2-2016,Ilhan Omar,1
FarRight_2-2016,Voice for Peace,1
FarRight_2-2016,Anti-Defamation League,1
FarRight_2-2016,Michigan,1
FarRight_2-2016,Rashida Tlaib,1
FarRight_2-2016,United Nations World Conference Against Racism,1
FarRight_2-2016,anti-Semitic,2
FarRight_2-2016,anti-American,1
FarRight_2-2016,IPF,1
FarRight_2-2016,the Jewish state,1
FarRight_2-2016,Barr,1
FarRight_2-2016,devout,1
FarRight_2-2016,Polish,3
FarRight_2-2016,Hitler,2
FarRight_2-2016,Holocaust,2
FarRight_2-2016,Poland,1
FarRight_2-2016,Israeli,1
FarRight_2-2017,Chinese,2
FarRight_2-2017,Maine,1
FarRight_2-2017,Cory Booker,1
FarRight_2-2017,White House,1
FarRight_2-2017,Booker,1
FarRight_2-2017,African-American,1
FarRight_2-2017,America,1
FarRight_2-2017,his,3
FarRight_2-2017,Trump,1
FarRight_2-2017,MSNBC,1
FarRight_2-2017,EU,1
FarRight_2-2017,DHS,1
FarRight_2-2017,Lebanon,2
FarRight_2-2017,Syrian,2
FarRight_2-2017,Jewish,69
FarRight_2-2017,Polish,1
FarRight_2-2017,Congress,2
FarRight_2-2017,Judeo-Christian,2
FarRight_2-2017,Theological,3
FarRight_2-2017,Partisan Army,1
FarRight_2-2017,Greenblatt,1
FarRight_2-2017,Jews,1
FarRight_2-2017,She,1
FarRight_2-2017,Americans,1
FarRight_2-2017,lawmaker,1
FarRight_2-2018,pro-Jewish,1
FarRight_2-2018,neo-Nazi,2
FarRight_2-2018,anti-Semitic trope Ungar-Sargon,1
FarRight_2-2018,politician,6
FarRight_2-2018,Jewish,3
FarRight_2-2018,Lazarow — anti-Semitic,2
FarRight_2-2018,Jews,18
FarRight_2-2018,Jew,7
FarRight_2-2018,Nirenstein,1
FarRight_2-2018,European,1
FarRight_2-2018,Advertisement Anti-Semitic,1
FarRight_2-2018,Democrat Party,2
FarRight_2-2018,Catholics,1
FarRight_2-2018,Foreign Affairs,1
FarRight_2-2018,Israel,1
FarRight_2-2018,Labour,1
FarRight_2-2018,anti-Semitic,1
FarRight_2-2018,his,1
FarRight_2-2018,Satanic,2
